X,Y,Terrain,Feature,Resource,ResourceType,Improvement,Owner,CityOwner,District,Building,Appeal,Continent,Rivers,CliffSide,GoodyHut
0,0,TERRAIN_OCEAN,FEATURE_ICE,,default,,,,,,0,,,False,False
0,1,TERRAIN_OCEAN,FEATURE_ICE,,default,,,,,,0,,,False,False
0,2,TERRAIN_OCEAN,,,default,,,,,,0,,,False,False
0,3,TERRAIN_OCEAN,FEATURE_ICE,,default,,,,,,0,,,False,False
0,4,TERRAIN_OCEAN,FEATURE_ICE,,default,,,,,,0,,,False,False
0,5,TERRAIN_OCEAN,,,default,,,,,,0,,,False,False
0,6,TERRAIN_COAST,,,default,,,,,,0,,,False,False
0,7,TERRAIN_COAST,,RESOURCE_FISH,Bonus,,,,,,0,,,False,False
0,8,TERRAIN_OCEAN,,,default,,,,,,0,,,False,False
0,9,TERRAIN_OCEAN,,,default,,,,,,0,,,False,False
0,10,TERRAIN_OCEAN,,,default,,,,,,0,,,False,False
0,11,TERRAIN_COAST,,,default,,,,,,0,,,False,False
0,12,TERRAIN_OCEAN,,,default,,,,,,0,,,False,False
0,13,TERRAIN_OCEAN,,,default,,,,,,0,,,False,False
0,14,TERRAIN_OCEAN,,,default,,,,,,0,,,False,False
0,15,TERRAIN_OCEAN,,,default,,,,,,0,,,False,False
0,16,TERRAIN_OCEAN,,,default,,,,,,0,,,False,False
0,17,TERRAIN_OCEAN,,,default,,,,,,0,,,False,False
0,18,TERRAIN_OCEAN,,,default,,,,,,0,,,False,False
0,19,TERRAIN_OCEAN,,,default,,,,,,0,,,False,False
0,20,TERRAIN_OCEAN,,,default,,,,,,0,,,False,False
0,21,TERRAIN_OCEAN,,,default,,,,,,0,,,False,False
0,22,TERRAIN_OCEAN,,,default,,,,,,0,,,False,False
0,23,TERRAIN_OCEAN,,,default,,,,,,0,,,False,False
0,24,TERRAIN_OCEAN,,,default,,,,,,0,,,False,False
0,25,TERRAIN_OCEAN,,,default,,,,,,0,,,False,False
